source_id,target_id,department
24,52,Departamento de Ciencia de la Computación
24,70,Departamento de Ciencia de la Computación
24,75,Departamento de Ciencia de la Computación
24,76,Departamento de Ciencia de la Computación
24,81,Departamento de Ciencia de la Computación
31,33,Departamento de Ciencia de la Computación
31,45,Departamento de Ciencia de la Computación
31,50,Departamento de Ciencia de la Computación
31,52,Departamento de Ciencia de la Computación
31,70,Departamento de Ciencia de la Computación
31,75,Departamento de Ciencia de la Computación
31,76,Departamento de Ciencia de la Computación
31,81,Departamento de Ciencia de la Computación
33,45,Departamento de Ciencia de la Computación
33,50,Departamento de Ciencia de la Computación
33,52,Departamento de Ciencia de la Computación
33,70,Departamento de Ciencia de la Computación
33,75,Departamento de Ciencia de la Computación
33,76,Departamento de Ciencia de la Computación
33,81,Departamento de Ciencia de la Computación
45,50,Departamento de Ciencia de la Computación
45,52,Departamento de Ciencia de la Computación
45,70,Departamento de Ciencia de la Computación
45,75,Departamento de Ciencia de la Computación
45,76,Departamento de Ciencia de la Computación
45,81,Departamento de Ciencia de la Computación
50,52,Departamento de Ciencia de la Computación
50,70,Departamento de Ciencia de la Computación
50,75,Departamento de Ciencia de la Computación
50,76,Departamento de Ciencia de la Computación
50,81,Departamento de Ciencia de la Computación
52,70,Departamento de Ciencia de la Computación
52,75,Departamento de Ciencia de la Computación
52,76,Departamento de Ciencia de la Computación
52,81,Departamento de Ciencia de la Computación
70,75,Departamento de Ciencia de la Computación
70,76,Departamento de Ciencia de la Computación
70,81,Departamento de Ciencia de la Computación
75,76,Departamento de Ciencia de la Computación
75,81,Departamento de Ciencia de la Computación
76,81,Departamento de Ciencia de la Computación
16,28,Departamento de Ciencias
16,38,Departamento de Ciencias
16,47,Departamento de Ciencias
16,49,Departamento de Ciencias
16,56,Departamento de Ciencias
16,58,Departamento de Ciencias
16,59,Departamento de Ciencias
16,65,Departamento de Ciencias
16,66,Departamento de Ciencias
16,71,Departamento de Ciencias
16,90,Departamento de Ciencias
28,38,Departamento de Ciencias
28,47,Departamento de Ciencias
28,49,Departamento de Ciencias
28,56,Departamento de Ciencias
28,58,Departamento de Ciencias
28,59,Departamento de Ciencias
28,65,Departamento de Ciencias
28,66,Departamento de Ciencias
28,71,Departamento de Ciencias
28,90,Departamento de Ciencias
38,47,Departamento de Ciencias
38,49,Departamento de Ciencias
38,56,Departamento de Ciencias
38,58,Departamento de Ciencias
38,59,Departamento de Ciencias
38,65,Departamento de Ciencias
38,66,Departamento de Ciencias
38,71,Departamento de Ciencias
38,90,Departamento de Ciencias
47,49,Departamento de Ciencias
47,56,Departamento de Ciencias
47,58,Departamento de Ciencias
47,59,Departamento de Ciencias
47,65,Departamento de Ciencias
47,66,Departamento de Ciencias
47,71,Departamento de Ciencias
47,90,Departamento de Ciencias
49,56,Departamento de Ciencias
49,58,Departamento de Ciencias
49,59,Departamento de Ciencias
49,65,Departamento de Ciencias
49,66,Departamento de Ciencias
49,71,Departamento de Ciencias
49,90,Departamento de Ciencias
56,58,Departamento de Ciencias
56,59,Departamento de Ciencias
56,65,Departamento de Ciencias
56,66,Departamento de Ciencias
56,71,Departamento de Ciencias
56,90,Departamento de Ciencias
58,59,Departamento de Ciencias
58,65,Departamento de Ciencias
58,66,Departamento de Ciencias
58,71,Departamento de Ciencias
58,90,Departamento de Ciencias
59,65,Departamento de Ciencias
59,66,Departamento de Ciencias
59,71,Departamento de Ciencias
59,90,Departamento de Ciencias
65,66,Departamento de Ciencias
65,71,Departamento de Ciencias
65,90,Departamento de Ciencias
66,71,Departamento de Ciencias
66,90,Departamento de Ciencias
71,90,Departamento de Ciencias
21,32,Unknown Department
21,51,Unknown Department
21,73,Unknown Department
21,82,Unknown Department
21,88,Unknown Department
32,51,Unknown Department
32,73,Unknown Department
32,82,Unknown Department
32,88,Unknown Department
51,73,Unknown Department
51,82,Unknown Department
51,88,Unknown Department
73,82,Unknown Department
73,88,Unknown Department
82,88,Unknown Department
30,34,Departamento de Ciencia de Datos y Sistemas de Información
30,74,Departamento de Ciencia de Datos y Sistemas de Información
34,74,Departamento de Ciencia de Datos y Sistemas de Información
